"tournament_id","round","home","away","winner","loser"
1932,"Final","Samuel Flores","Li Wei","Li Wei","Samuel Flores"
1934,"Round_of_16","Jackson Davis","Max Williams","Max Williams","Jackson Davis"
1934,"Round_of_16","Mateo Diaz","Rafael Castillo","Rafael Castillo","Mateo Diaz"
1934,"Round_of_16","Juma Sow","Liam Janssen","Juma Sow","Liam Janssen"
1934,"Round_of_16","Luis Perez","Robin Wright","Luis Perez","Robin Wright"
1934,"Round_of_16","Jennifer Maldini","Miguel Sansiro","Miguel Sansiro","Jennifer Maldini"
1934,"Round_of_16","Malik Obi","Noah Fischer","Malik Obi","Noah Fischer"
1934,"Quarterfinal","Aiden Nguyen","Li Wei","Li Wei","Aiden Nguyen"
1934,"Quarterfinal","Max Williams","Rafael Castillo","Rafael Castillo","Max Williams"
1934,"Quarterfinal","Juma Sow","Luis Perez","Juma Sow","Luis Perez"
1934,"Quarterfinal","Miguel Sansiro","Malik Obi","Miguel Sansiro","Malik Obi"
1934,"Semifinal","Li Wei","Rafael Castillo","Li Wei","Rafael Castillo"
1934,"Semifinal","Juma Sow","Miguel Sansiro","Juma Sow","Miguel Sansiro"
1934,"Final","Li Wei","Juma Sow","Juma Sow","Li Wei"
1935,"Round_of_16","Li Wei","Aiden Nguyen","Li Wei","Aiden Nguyen"
1935,"Round_of_16","Rafael Castillo","Juma Sow","Rafael Castillo","Juma Sow"
1935,"Round_of_16","Max Williams","Luis Perez","Max Williams","Luis Perez"
1935,"Round_of_16","Samuel Flores","Jennifer Maldini","Samuel Flores","Jennifer Maldini"
1935,"Round_of_16","Kazuki Yamamoto","Jackson Davis","Jackson Davis","Kazuki Yamamoto"
1935,"Round_of_16","Miguel Sansiro","Malik Obi","Miguel Sansiro","Malik Obi"
1935,"Round_of_16","Noah Fischer","Mateo Diaz","Noah Fischer","Mateo Diaz"
1935,"Round_of_16","Robin Wright","Liam Janssen","Robin Wright","Liam Janssen"
1935,"Quarterfinal","Li Wei","Rafael Castillo","Li Wei","Rafael Castillo"
1935,"Quarterfinal","Max Williams","Samuel Flores","Samuel Flores","Max Williams"
1935,"Quarterfinal","Miguel Sansiro","Jackson Davis","Miguel Sansiro","Jackson Davis"
1935,"Quarterfinal","Noah Fischer","Robin Wright","Robin Wright","Noah Fischer"
1935,"Semifinal","Li Wei","Samuel Flores","Li Wei","Samuel Flores"
1936,"Round_of_16","Aiden Nguyen","Rafael Castillo","Rafael Castillo","Aiden Nguyen"
1936,"Round_of_16","Samuel Flores","Max Williams","Samuel Flores","Max Williams"
1936,"Round_of_16","Jackson Davis","Robin Wright","Jackson Davis","Robin Wright"
1936,"Round_of_16","Li Wei","Juma Sow","Juma Sow","Li Wei"
1936,"Round_of_16","Noah Fischer","Miguel Sansiro","Noah Fischer","Miguel Sansiro"
1936,"Round_of_16","Kazuki Yamamoto","Luis Perez","Luis Perez","Kazuki Yamamoto"
1936,"Round_of_16","Jennifer Maldini","Mateo Diaz","Mateo Diaz","Jennifer Maldini"
1936,"Round_of_16","Malik Obi","Liam Janssen","Malik Obi","Liam Janssen"
1936,"Quarterfinal","Rafael Castillo","Samuel Flores","Rafael Castillo","Samuel Flores"
1936,"Quarterfinal","Jackson Davis","Juma Sow","Jackson Davis","Juma Sow"
1936,"Quarterfinal","Noah Fischer","Luis Perez","Noah Fischer","Luis Perez"
1936,"Quarterfinal","Mateo Diaz","Malik Obi","Mateo Diaz","Malik Obi"
1936,"Semifinal","Rafael Castillo","Jackson Davis","Rafael Castillo","Jackson Davis"
1936,"Semifinal","Noah Fischer","Mateo Diaz","Noah Fischer","Mateo Diaz"
